-1.0923e-05	84.167	113.43	-3.0479e-07
0.12256	86.033	113.45	-3.082e-07
0.24606	87.922	113.46	-3.1164e-07
0.37085	89.835	113.48	-3.1513e-07
0.49724	91.77	113.49	-3.1866e-07
0.62559	93.729	113.5	-3.2222e-07
0.75625	95.71	113.52	-3.2583e-07
0.88959	97.714	113.53	-3.2947e-07
1.026	99.74	113.55	-3.3316e-07
1.1658	101.79	113.56	-3.3688e-07
1.3095	103.86	113.58	-3.4065e-07
1.4574	105.95	113.59	-3.4446e-07
1.61	108.07	113.61	-3.4832e-07
1.7676	110.21	113.62	-3.5221e-07
1.9309	112.36	113.63	-3.5615e-07
2.1002	114.54	113.65	-3.6014e-07
2.276	116.74	113.66	-3.6417e-07
2.4588	118.97	113.68	-3.6824e-07
2.6493	121.21	113.69	-3.7236e-07
2.8478	123.47	113.71	-3.7653e-07
3.0551	125.75	113.72	-3.8074e-07
3.2716	128.05	113.74	-3.85e-07
3.4981	130.38	113.76	-3.8931e-07
3.7351	132.72	113.77	-3.9366e-07
3.9834	135.07	113.79	-3.9807e-07
4.2436	137.45	113.8	-4.0252e-07
4.5166	139.84	113.82	-4.0702e-07
4.803	142.25	113.83	-4.1158e-07
5.1036	144.68	113.85	-4.1618e-07
5.4194	147.12	113.86	-4.2084e-07
5.7511	149.58	113.88	-4.2554e-07
6.0998	152.05	113.89	-4.3031e-07
6.4662	154.53	113.91	-4.3512e-07
6.8515	157.02	113.93	-4.3999e-07
7.2566	159.53	113.94	-4.4491e-07
7.6826	162.05	113.96	-4.4989e-07
8.1307	164.57	113.97	-4.5492e-07
8.6019	167.11	113.99	-4.6001e-07
9.0975	169.65	114.01	-4.6516e-07
9.6187	172.19	114.02	-4.7036e-07
10.167	174.74	114.04	-4.7562e-07
10.743	177.3	114.05	-4.8094e-07
11.349	179.85	114.07	-4.8632e-07
11.986	182.4	114.09	-4.9176e-07
12.656	184.96	114.1	-4.9726e-07
13.36	187.5	114.12	-5.0283e-07
14.099	190.04	114.13	-5.0845e-07
14.876	192.57	114.15	-5.1414e-07
15.692	195.09	114.17	-5.1989e-07
16.548	197.6	114.18	-5.2571e-07
17.447	200.09	114.2	-5.3159e-07
18.39	202.56	114.22	-5.3754e-07
19.379	205.01	114.23	-5.4355e-07
20.416	207.44	114.25	-5.4963e-07
21.503	209.84	114.27	-5.5578e-07
22.641	212.2	114.28	-5.62e-07
23.833	214.53	114.3	-5.6829e-07
25.08	216.83	114.31	-5.7464e-07
26.384	219.08	114.33	-5.8107e-07
27.748	221.28	114.35	-5.8757e-07
29.173	223.44	114.36	-5.9415e-07
30.661	225.54	114.38	-6.0079e-07
32.213	227.58	114.4	-6.0751e-07
33.832	229.55	114.41	-6.1431e-07
35.519	231.46	114.43	-6.2118e-07
37.276	233.29	114.45	-6.2813e-07
39.103	235.04	114.46	-6.3516e-07
41.003	236.71	114.48	-6.4226e-07
42.976	238.28	114.5	-6.4945e-07
45.024	239.76	114.51	-6.5671e-07
47.147	241.13	114.53	-6.6406e-07
49.346	242.39	114.54	-6.7148e-07
51.62	243.54	114.56	-6.7899e-07
53.971	244.57	114.58	-6.8658e-07
56.397	245.47	114.59	-6.9426e-07
58.899	246.23	114.61	-7.0202e-07
61.475	246.85	114.62	-7.0986e-07
64.124	247.32	114.64	-7.1779e-07
66.844	247.64	114.66	-7.258e-07
69.632	247.79	114.67	-7.3389e-07
72.488	247.78	114.69	-7.4207e-07
75.406	247.59	114.7	-7.5032e-07
78.384	247.22	114.72	-7.5866e-07
81.417	246.67	114.73	-7.6706e-07
84.502	245.92	114.75	-7.7553e-07
87.631	244.97	114.76	-7.8406e-07
90.801	243.82	114.78	-7.9263e-07
94.005	242.45	114.79	-8.0123e-07
97.235	240.88	114.81	-8.0984e-07
100.48	239.09	114.82	-8.1843e-07
103.75	237.07	114.84	-8.2695e-07
107.01	234.84	114.85	-8.3537e-07
110.27	232.37	114.87	-8.4362e-07
113.52	229.68	114.88	-8.5163e-07
116.74	226.76	114.89	-8.5933e-07
119.92	223.61	114.91	-8.6663e-07
123.06	220.23	114.92	-8.7344e-07
126.15	216.62	114.93	-8.7968e-07
129.18	212.79	114.95	-8.8529e-07
132.12	208.73	114.96	-8.9026e-07
134.99	204.46	114.97	-8.9457e-07
137.75	199.96	114.98	-8.9825e-07
140.41	195.26	115	-9.0136e-07
142.96	190.36	115.01	-9.0397e-07
145.37	185.26	115.02	-9.0616e-07
147.66	179.97	115.03	-9.08e-07
149.8	174.5	115.04	-9.0956e-07
151.79	168.86	115.06	-9.109e-07
153.63	163.06	115.07	-9.1207e-07
155.29	157.11	115.08	-9.131e-07
156.79	151.02	115.09	-9.1404e-07
158.12	144.8	115.1	-9.149e-07
159.27	138.47	115.11	-9.157e-07
160.24	132.03	115.12	-9.1646e-07
161.02	125.51	115.13	-9.1719e-07
161.62	118.9	115.14	-9.179e-07
162.04	112.23	115.15	-9.1859e-07
162.27	105.51	115.16	-9.1927e-07
162.33	98.753	115.17	-9.1993e-07
162.2	91.968	115.18	-9.2059e-07
161.91	85.171	115.19	-9.2125e-07
161.44	78.373	115.2	-9.219e-07
160.81	71.587	115.21	-9.2255e-07
160.01	64.825	115.22	-9.232e-07
159.07	58.098	115.23	-9.2385e-07
157.98	51.417	115.24	-9.2449e-07
156.75	44.793	115.25	-9.2514e-07
155.39	38.235	115.25	-9.2578e-07
153.91	31.754	115.26	-9.2643e-07
152.32	25.357	115.27	-9.2707e-07
150.62	19.053	115.28	-9.2772e-07
148.82	12.849	115.29	-9.2837e-07
